Crime_ID,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1,14067388,JJ536471,12/27/2025 12:00:00 AM,091XX S PAXTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,False,True,413,4.0,7.0,48.0,14,1192432.0,1844761.0,2025,01/03/2026 03:41:35 PM,41.728999573,-87.570661098,"(41.728999573, -87.570661098)"
2,14068024,JJ537488,12/27/2025 12:00:00 AM,113XX S FORRESTVILLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,531,5.0,9.0,50.0,14,1181943.0,1829979.0,2025,01/03/2026 03:41:35 PM,41.688684476,-87.609539543,"(41.688684476, -87.609539543)"
3,14069613,JJ539171,12/27/2025 12:00:00 AM,015XX N KEDZIE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,False,1422,14.0,26.0,23.0,11,1154735.0,1910259.0,2025,01/03/2026 03:41:35 PM,41.909568263,-87.707005828,"(41.909568263, -87.707005828)"
4,14069736,JJ539477,12/27/2025 12:00:00 AM,008XX W WELLINGTON AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING / GROUNDS,False,False,1933,19.0,44.0,6.0,02,1169981.0,1920130.0,2025,01/03/2026 03:41:35 PM,41.936335635,-87.650710119,"(41.936335635, -87.650710119)"
5,14066925,JJ536079,12/27/2025 12:00:00 AM,081XX S DANTE AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,411,4.0,8.0,45.0,07,1187267.0,1851267.0,2025,01/03/2026 03:41:35 PM,41.746976726,-87.589375433,"(41.746976726, -87.589375433)"
6,14070517,JJ540376,12/27/2025 12:00:00 AM,079XX S PAULINA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,611,6.0,17.0,71.0,14,1166391.0,1852082.0,2025,01/03/2026 03:41:35 PM,41.749683042,-87.665847295,"(41.749683042, -87.665847295)"
7,14069878,JJ538756,12/27/2025 12:00:00 AM,032XX N NEVA AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1632,16.0,29.0,17.0,06,1127853.0,1920675.0,2025,01/03/2026 03:41:35 PM,41.938647286,-87.805524927,"(41.938647286, -87.805524927)"
8,14066691,JJ535794,12/27/2025 12:00:00 AM,009XX W KINZIE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1214,12.0,27.0,24.0,14,1170259.0,1902888.0,2025,01/03/2026 03:41:35 PM,41.889016567,-87.650193151,"(41.889016567, -87.650193151)"
9,14066745,JJ535802,12/27/2025 12:00:00 AM,061XX S INDIANA AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,True,311,3.0,20.0,40.0,08B,1178650.0,1864386.0,2025,01/03/2026 03:41:35 PM,41.78317679,-87.620551762,"(41.78317679, -87.620551762)"
10,14067129,JJ536327,12/27/2025 12:00:00 AM,059XX W ROSCOE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1633,16.0,30.0,15.0,14,1136223.0,1921998.0,2025,01/03/2026 03:41:35 PM,41.942132205,-87.774730937,"(41.942132205, -87.774730937)"
11,14068400,JJ537822,12/27/2025 12:00:00 AM,049XX N LINCOLN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2031,20.0,40.0,4.0,06,1159133.0,1932767.0,2025,01/03/2026 03:41:35 PM,41.971242392,-87.690229119,"(41.971242392, -87.690229119)"
12,14066737,JJ535787,12/27/2025 12:00:00 AM,081XX S SOUTH SHORE DR,0440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,False,True,422,4.0,7.0,46.0,08B,1198566.0,1851564.0,2025,01/03/2026 03:41:35 PM,41.747516179,-87.547963847,"(41.747516179, -87.547963847)"
13,14066969,JJ535915,12/27/2025 12:00:00 AM,053XX W CHICAGO AVE,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,APARTMENT,False,True,1524,15.0,37.0,25.0,20,1140681.0,1904818.0,2025,01/03/2026 03:41:35 PM,41.894907524,-87.758768643,"(41.894907524, -87.758768643)"
14,14067128,JJ536307,12/27/2025 12:00:00 AM,016XX W LAKE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1215,12.0,27.0,28.0,07,1165530.0,1901500.0,2025,01/03/2026 03:41:35 PM,41.885309786,-87.667599365,"(41.885309786, -87.667599365)"
15,14067298,JJ536513,12/27/2025 12:00:00 AM,022XX S MILLARD AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,1013,10.0,22.0,30.0,07,1152383.0,1888997.0,2025,01/03/2026 03:41:35 PM,41.851269884,-87.716207764,"(41.851269884, -87.716207764)"
16,14066715,JJ535815,12/27/2025 12:00:00 AM,035XX W 30TH ST,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,False,False,1032,10.0,22.0,30.0,26,1153006.0,1884493.0,2025,01/03/2026 03:41:35 PM,41.83889805,-87.714040398,"(41.83889805, -87.714040398)"
17,14071012,JJ540537,12/27/2025 12:00:00 AM,024XX E 78TH ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,421,4.0,7.0,43.0,05,1194019.0,1853728.0,2025,01/03/2026 03:41:35 PM,41.753567049,-87.564554197,"(41.753567049, -87.564554197)"
18,14067153,JJ536411,12/27/2025 12:00:00 AM,019XX S MORGAN ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,1235,12.0,25.0,31.0,26,1169993.0,1890933.0,2025,01/03/2026 03:41:35 PM,41.856216962,-87.651518736,"(41.856216962, -87.651518736)"
19,14066782,JJ535811,12/27/2025 12:00:00 AM,001XX E 70TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,322,3.0,6.0,69.0,14,1178520.0,1858639.0,2025,01/03/2026 03:41:35 PM,41.767409383,-87.621202858,"(41.767409383, -87.621202858)"
20,14068771,JJ538223,12/27/2025 12:00:00 AM,043XX S MARSHFIELD AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,924,9.0,15.0,61.0,06,1166062.0,1875968.0,2025,01/03/2026 03:41:35 PM,41.815236246,-87.666373972,"(41.815236246, -87.666373972)"
21,14066771,JJ535778,12/26/2025 11:51:00 PM,063XX S ABERDEEN ST,0460,BATTERY,SIMPLE,RESIDENCE,False,False,724,7.0,16.0,68.0,08B,1170071.0,1862762.0,2025,01/03/2026 03:41:35 PM,41.778911187,-87.652052262,"(41.778911187, -87.652052262)"
22,14069263,JJ537866,12/26/2025 11:50:00 PM,037XX E 87TH ST,0610,BURGLARY,FORCIBLE ENTRY,VACANT LOT / LAND,False,False,424,4.0,10.0,46.0,05,1202892.0,1848129.0,2025,01/03/2026 03:41:35 PM,41.737980878,-87.532229701,"(41.737980878, -87.532229701)"
23,14066687,JJ535788,12/26/2025 11:50:00 PM,005XX S PULASKI RD,041A,BATTERY,AGGRAVATED - HANDGUN,CTA PLATFORM,False,False,1132,11.0,24.0,26.0,04B,1149812.0,1897228.0,2025,01/03/2026 03:41:35 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
24,14066724,JJ535777,12/26/2025 11:50:00 PM,012XX N KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2534,25.0,37.0,23.0,08B,1148818.0,1908116.0,2025,01/03/2026 03:41:35 PM,41.903804161,-87.728797986,"(41.903804161, -87.728797986)"
